"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Characteristics:Длина;Characteristics:Макс.гостей;"Characteristics:Год яхты";"Characteristics:Кол-во кают";Characteristics:Скорость:;"Characteristics:Кол-во моторов";"Characteristics:Комнат отдыха";"Characteristics:Макс. гостей дневной чартер";Characteristics:Overnight;"Characteristics:Круизная скорость";"Characteristics:Максимальная скорость";"Characteristics:Максимум человек";Characteristics:Кают;Characteristics:Душевая;"Characteristics:Тип аренды";Characteristics:Модель;Characteristics:Построена;"Characteristics:Чартер на день";Characteristics:Ночёвка;Characteristics:Экипаж;"Characteristics:Макс. гостей на день/ночь";"Characteristics:Туалеты (гальюн)";Characteristics:Speed;"Characteristics:Cruising Speed";"Characteristics:Max Guests for Night";Characteristics:Салон;Characteristics:Пирс;Characteristics:Гостинная;"Characteristics:Санузлы(ванные комнаты)";"Characteristics:Пирс №1";"Characteristics:Пирс №2";Characteristics:Яхта;"Characteristics:Тип судна";Characteristics:Санузлы;"Characteristics:Air conditioner";"Characteristics:Макс. гостей на ночь";Characteristics:Ширина;Characteristics:Электропитание;Characteristics:Вместимость;Weight;Length;Width;Height;"SEO title";"SEO descr";"SEO keywords";"FB title";"FB descr";Url;Tabs:1;Tabs:2;Tabs:3;Tabs:4;Tabs:5;Tabs:6;Tabs:7;Tabs:8
281674117051;;;;;"75CT-BLKT - 1 Nov - 30 Apr - 9 ЧАСОВ(Full day) - 31-50 - MAITON + RACHA YAI";;;;73000.00;;;"Выберите даты сезона::1 Nov - 30 Apr;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:31-50;Выберите маршрут::MAITON + RACHA YAI";;HcuJhy7n37XTpH5AO9NK;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=281674117051;;;;;;;;
174093363811;;;;;"75CT-BLKT - 1 Nov - 30 Apr - 9 ЧАСОВ(Full day) - 31-50 - KHAI ISLAND";;;;73000.00;;;"Выберите даты сезона::1 Nov - 30 Apr;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:31-50;Выберите маршрут::KHAI ISLAND";;y7gd8gvDrS5b0vMxLHXz;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=174093363811;;;;;;;;
653611582011;;;;;"75CT-BLKT - 1 Nov - 30 Apr - 9 ЧАСОВ(Full day) - 31-50 - KHAI ISLAND + MAITON ISLAND";;;;73000.00;;;"Выберите даты сезона::1 Nov - 30 Apr;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:31-50;Выберите маршрут::KHAI ISLAND + MAITON ISLAND";;oc6oiybbKZJLYOiANrab;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=653611582011;;;;;;;;
354095838541;;;;;"75CT-BLKT - 1 Nov - 30 Apr - SUNSET TRIP 16.00-19.30 - 31-50 - SUNSET TRIP";;;;54000.00;;;"Выберите даты сезона::1 Nov - 30 Apr;Выберите длительность:SUNSET TRIP 16.00-19.30 #f07a2b;Выберите кол-во человек:31-50;Выберите маршрут::SUNSET TRIP";;fMIg5PvxS2VD1YZl7rdS;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=354095838541;;;;;;;;
520766198472;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(08:00 – 13:00) - 1-30 - CORAL ISLAND";;;;61000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(08:00 – 13:00) #cdfcef;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND";;PmRynJBSUgYNbSIBfpmN;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=520766198472;;;;;;;;
911197107142;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(08:00 – 13:00) - 1-30 - MAITON ISLAND";;;;61000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(08:00 – 13:00) #cdfcef;Выберите кол-во человек:1-30;Выберите маршрут::MAITON ISLAND";;Mnd2jkfczoykJ4KM1n9G;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=911197107142;;;;;;;;
111846856472;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(14:00 – 19:00) - 1-30 - CORAL ISLAND";;;;64000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(14:00 – 19:00) #6cf5d0;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND";;cjdSFoMjBXt11UMNbF1R;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=111846856472;;;;;;;;
252642283922;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(14:00 – 19:00) - 1-30 - MAITON ISLAND";;;;64000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(14:00 – 19:00) #6cf5d0;Выберите кол-во человек:1-30;Выберите маршрут::MAITON ISLAND";;at7ENVcLM54ns7hg4lRm;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=252642283922;;;;;;;;
291401910262;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(14:00 – 19:00) - 1-30 - CORAL+PROMTHEM";;;;65000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(14:00 – 19:00) #6cf5d0;Выберите кол-во человек:1-30;Выберите маршрут::CORAL+PROMTHEM";;VdR6dGfLS6eNrP8R78Hh;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=291401910262;;;;;;;;
669454711992;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 4 ЧАСА(14:00 – 19:00) - 1-30 - CORAL ISLAND + MAITON ISLAND";;;;65000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:4 ЧАСА(14:00 – 19:00) #6cf5d0;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND + MAITON ISLAND";;iaRfnzbYOcLOo5DX6njV;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=669454711992;;;;;;;;
854205377632;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 9 ЧАСОВ(Full day) - 1-30 - CORAL ISLAND";;;;71000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND";;mo03Va2N805L7iH7mJ7l;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=854205377632;;;;;;;;
638192511612;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 9 ЧАСОВ(Full day) - 1-30 - MAITON ISLAND";;;;71000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:1-30;Выберите маршрут::MAITON ISLAND";;AO9kgHGA4S7cPjcTOGaf;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=638192511612;;;;;;;;
235853837862;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 9 ЧАСОВ(Full day) - 1-30 - CORAL ISLAND + MAITON ISLAND";;;;73000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND + MAITON ISLAND";;JFIjuPYFNtlvuLcjnEDA;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=235853837862;;;;;;;;
531897205662;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 9 ЧАСОВ(Full day) - 1-30 - CORAL ISLAND + RACHA ISLAND";;;;74000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:1-30;Выберите маршрут::CORAL ISLAND + RACHA ISLAND";;p4vlINamM5g8JXAx26dP;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=531897205662;;;;;;;;
836974133812;;;;;"75CT-BLKT - 24 Dec - 15 Jan - 9 ЧАСОВ(Full day) - 1-30 - MAITON + RACHA YAI";;;;77000.00;;;"Выберите даты сезона::24 Dec - 15 Jan;Выберите длительность:9 ЧАСОВ(Full day) #6bcbff;Выберите кол-во человек:1-30;Выберите маршрут::MAITON + RACHA YAI";;fbC81lS9BdxoKKbj5moy;735987671021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;https://onlysea.travel/catamarans/tproduct/710919087-735987671021-75ct-blkt?editionuid=836974133812;;;;;;;;
